anno,region,zona,acceso_int,quintil,niveduc,sexo,edad,tipo_acceso,edad_tramo,usa_computador,usa_smartphone
2013,9 araucania,urbano,si,Q1,basica_completa,hombre,62.0,Sólo Móvil,61–65,si,no
2013,9 araucania,urbano,no,Q2,basica_completa,hombre,38.0,Ninguna,36–40,no,no
2013,9 araucania,urbano,no,Q2,media_ch_completa,mujer,22.0,Ninguna,21–25,no,no
2013,9 araucania,urbano,no,Q4,media_tp_completa,mujer,46.0,Ninguna,46–50,no,no
2013,9 araucania,urbano,si,Q2,media_ch_completa,mujer,20.0,Sólo Fija,18–20,si,si
2013,9 araucania,urbano,no,Q3,basica_incompleta,mujer,47.0,Ninguna,46–50,no,no
2013,9 araucania,urbano,no,Q1,basica_incompleta,mujer,37.0,Ninguna,36–40,no,no
2013,9 araucania,urbano,no,Q2,media_ch_incompleta,hombre,58.0,Ninguna,56–60,no,no
2013,9 araucania,urbano,no,Q3,media_tp_incompleta,mujer,55.0,Ninguna,51–55,no,no
2013,9 araucania,urbano,no,Q4,media_tp_incompleta,hombre,45.0,Ninguna,41–45,no,no
2013,9 araucania,urbano,si,Q5,media_tp_incompleta,mujer,24.0,Sólo Fija,21–25,si,no
2013,9 araucania,urbano,no,Q3,media_ch_completa,hombre,32.0,Ninguna,31–35,no,no
2013,9 araucania,urbano,no,Q1,media_ch_completa,mujer,27.0,Ninguna,26–30,no,no
2013,9 araucania,urbano,si,Q1,media_tp_completa,mujer,38.0,Sólo Fija,36–40,si,no
2013,9 araucania,urbano,no,Q2,media_ch_incompleta,mujer,64.0,Ninguna,61–65,no,no
2013,9 araucania,urbano,si,Q5,basica_incompleta,mujer,64.0,Sólo Fija,61–65,si,no
2013,9 araucania,urbano,no,Q2,media_tp_completa,mujer,50.0,Ninguna,46–50,no,no
2013,9 araucania,urbano,si,Q5,sup_universitaria_completa,mujer,55.0,Sólo Fija,51–55,si,si
2013,9 araucania,urbano,si,Q4,media_tp_incompleta,mujer,52.0,Sólo Fija,51–55,si,no
2013,9 araucania,urbano,no,Q1,basica_incompleta,hombre,63.0,Ninguna,61–65,no,no
2013,9 araucania,urbano,no,Q2,sup_tecnica_completa,hombre,49.0,Ninguna,46–50,no,no
2013,9 araucania,urbano,no,Q5,basica_incompleta,mujer,73.0,Ninguna,71–75,no,no
2013,9 araucania,urbano,si,Q2,media_ch_completa,mujer,37.0,Sólo Móvil,36–40,no,si
2013,9 araucania,urbano,no,Q1,basica_incompleta,mujer,71.0,Ninguna,71–75,no,no
2013,9 araucania,urbano,no,Q4,media_tp_completa,mujer,61.0,Ninguna,61–65,no,no
2013,9 araucania,urbano,no,Q5,media_ch_completa,hombre,33.0,Ninguna,31–35,no,no
2013,9 araucania,urbano,si,Q4,sup_universitaria_incompleta,mujer,18.0,Sólo Fija,18–20,si,no
2013,9 araucania,urbano,no,Q1,basica_completa,mujer,67.0,Ninguna,66–70,no,no
2013,9 araucania,urbano,si,Q4,media_ch_completa,hombre,24.0,Sólo Móvil,21–25,si,no
2013,9 araucania,urbano,no,Q1,media_ch_completa,mujer,55.0,Ninguna,51–55,no,no
2013,9 araucania,urbano,no,Q1,basica_completa,mujer,73.0,Ninguna,71–75,no,no
2013,9 araucania,urbano,no,Q1,basica_completa,mujer,23.0,Ninguna,21–25,no,no
2013,9 araucania,urbano,no,Q3,media_ch_completa,mujer,30.0,Ninguna,26–30,no,no
2013,9 araucania,urbano,no,Q5,media_ch_completa,mujer,20.0,Ninguna,18–20,no,no
2013,9 araucania,urbano,si,Q5,sup_tecnica_completa,mujer,47.0,Sólo Fija,46–50,si,no
2013,9 araucania,urbano,si,Q3,sup_universitaria_incompleta,mujer,22.0,Sólo Móvil,21–25,si,no
2013,9 araucania,urbano,no,Q1,sin_educacion_formal,hombre,26.0,Ninguna,26–30,no,no
2013,9 araucania,urbano,si,Q4,basica_incompleta,mujer,80.0,Sólo Móvil,76–80,si,si
2013,9 araucania,urbano,si,Q5,media_ch_completa,mujer,35.0,Sólo Fija,31–35,si,no
2013,9 araucania,urbano,no,Q1,basica_completa,mujer,48.0,Ninguna,46–50,no,no
2013,9 araucania,urbano,no,Q1,sup_universitaria_incompleta,hombre,25.0,Ninguna,21–25,no,no
2013,9 araucania,urbano,si,Q1,media_ch_completa,mujer,45.0,Sólo Fija,41–45,si,no
2013,9 araucania,urbano,si,Q2,media_ch_completa,mujer,47.0,Sólo Móvil,46–50,si,no
2013,9 araucania,urbano,no,Q3,basica_incompleta,hombre,21.0,Ninguna,21–25,no,no
2013,9 araucania,urbano,no,Q3,basica_completa,mujer,24.0,Ninguna,21–25,no,no
2013,9 araucania,urbano,si,Q5,sup_tecnica_completa,mujer,53.0,Sólo Fija,51–55,si,no
2013,9 araucania,urbano,no,Q4,media_tp_incompleta,mujer,48.0,Ninguna,46–50,no,no
2013,9 araucania,urbano,si,Q4,sup_universitaria_completa,mujer,38.0,Sólo Fija,36–40,si,no
2013,5 valparaiso,urbano,no,Q2,basica_incompleta,mujer,71.0,Ninguna,71–75,no,no
2013,5 valparaiso,urbano,no,Q5,media_ch_completa,hombre,19.0,Ninguna,18–20,no,no
2013,5 valparaiso,urbano,si,Q5,sup_universitaria_incompleta,mujer,25.0,Sólo Fija,21–25,si,si
2013,5 valparaiso,urbano,si,Q4,media_tp_completa,hombre,67.0,Sólo Fija,66–70,si,no
2013,5 valparaiso,urbano,no,Q2,basica_completa,mujer,63.0,Ninguna,61–65,no,no
2013,5 valparaiso,urbano,no,Q3,media_ch_completa,mujer,38.0,Ninguna,36–40,no,no
2013,5 valparaiso,urbano,si,Q4,sup_universitaria_incompleta,hombre,21.0,Sólo Fija,21–25,si,si
2013,5 valparaiso,urbano,si,Q4,sup_tecnica_completa,mujer,24.0,Sólo Fija,21–25,si,si
2013,5 valparaiso,urbano,si,Q5,sup_universitaria_completa,mujer,48.0,Sólo Fija,46–50,si,no
2013,5 valparaiso,urbano,si,Q5,sup_tecnica_completa,hombre,44.0,Sólo Fija,41–45,si,no
2013,5 valparaiso,urbano,si,Q3,media_tp_completa,mujer,41.0,Sólo Fija,41–45,si,no
2013,5 valparaiso,urbano,si,Q5,sup_tecnica_completa,hombre,41.0,Sólo Fija,41–45,si,si
2013,5 valparaiso,urbano,si,Q5,sup_tecnica_completa,mujer,41.0,Sólo Fija,41–45,si,si
2013,5 valparaiso,urbano,si,Q5,sup_tecnica_completa,mujer,25.0,Sólo Fija,21–25,si,si
2013,5 valparaiso,urbano,si,Q4,media_tp_completa,mujer,50.0,Sólo Fija,46–50,si,no
2013,5 valparaiso,urbano,si,Q5,sup_tecnica_completa,mujer,23.0,Sólo Fija,21–25,si,si
2013,8 biobio,urbano,si,Q2,media_ch_incompleta,hombre,24.0,Sólo Móvil,21–25,no,si
2013,8 biobio,urbano,no,Q2,media_ch_completa,hombre,33.0,Ninguna,31–35,no,no
2013,8 biobio,urbano,no,Q1,basica_incompleta,mujer,63.0,Ninguna,61–65,no,no
2013,8 biobio,urbano,si,Q5,sup_universitaria_incompleta,mujer,55.0,Sólo Fija,51–55,si,si
2013,8 biobio,urbano,si,Q5,sup_universitaria_incompleta,mujer,25.0,Sólo Fija,21–25,si,si
2013,8 biobio,urbano,si,Q2,media_ch_completa,mujer,46.0,Sólo Fija,46–50,si,si
2013,8 biobio,urbano,si,Q3,media_ch_completa,mujer,40.0,Sólo Móvil,36–40,no,si
2013,8 biobio,urbano,si,Q3,basica_completa,hombre,28.0,Sólo Fija,26–30,si,si
2013,8 biobio,urbano,si,Q1,media_tp_completa,mujer,56.0,Sólo Móvil,56–60,si,si
2013,8 biobio,urbano,si,Q5,sup_universitaria_completa,mujer,56.0,Sólo Fija,56–60,no,si
2013,8 biobio,urbano,no,Q3,media_ch_completa,mujer,68.0,Ninguna,66–70,no,no
2013,8 biobio,urbano,si,Q4,media_ch_incompleta,hombre,18.0,Sólo Fija,18–20,si,no
2013,8 biobio,urbano,no,Q3,sin_educacion_formal,hombre,52.0,Ninguna,51–55,no,no
2013,8 biobio,urbano,si,Q2,media_ch_completa,hombre,42.0,Sólo Móvil,41–45,si,si
2013,8 biobio,urbano,si,Q1,media_ch_completa,hombre,46.0,Sólo Móvil,46–50,no,si
2013,8 biobio,urbano,si,Q3,media_ch_completa,hombre,18.0,Sólo Fija,18–20,si,si
2013,8 biobio,urbano,si,Q4,sup_tecnica_completa,mujer,28.0,Sólo Fija,26–30,si,si
2013,8 biobio,urbano,si,Q4,sup_universitaria_completa,hombre,38.0,Sólo Móvil,36–40,si,si
2013,8 biobio,urbano,si,Q2,media_ch_incompleta,mujer,53.0,Sólo Móvil,51–55,si,no
2013,8 biobio,urbano,si,Q4,sup_tecnica_completa,mujer,52.0,Sólo Fija,51–55,si,no
2013,8 biobio,urbano,no,Q1,basica_incompleta,mujer,49.0,Ninguna,46–50,no,no
